paper_id;name;year
6413923;Reliable Computing;2001
6419611;American Mathematical Monthly;2007
6447760;Journal of Intelligent Manufacturing;1997
6503115;Computers and The Humanities;2000
6609858;Scientometrics;2003
6661174;Journal of Integrated Design & Process Science archive;2004
6738442;Pacific Asia journal of the Association for Information systems;2013
6747482;Elektrotechnik Und Informationstechnik;2010
6825241;Reliable Computing;1997
6870528;Studies in health technology and informatics;2004
6893780;Artificial Intelligence Review;2004
6993340;Communications of The Ais;2011
7016549;Computing;1973
7068636;Journal of Web Engineering;2011
7118658;Journal of Global Optimization;2001
7149231;Computational Optimization and Applications;2001
7185409;Computing;1991
7224772;Photonic Network Communications;1999
7257404;Information Technology & Management;2003
7270038;Communications of The Ais;2001
7324505;Order;2000
7332547;Journal of Electronic Testing;1999
7371413;Presence: Teleoperators & Virtual Environments;1995
7489460;IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing;2015
7498473;Queueing Systems;1998
7518849;Journal of Universal Computer Science;2008
7548172;Theory of Computing;2010
7599186;Journal of Management Information Systems;1994
7632658;Journal of Scientific Computing;1999
7721922;Distributed and Parallel Databases;2003
7821847;Journal of Automata, Languages and Combinatorics;2006
7824952;Advances in intelligent systems and computing;2015
7833966;Design Automation for Embedded Systems;1999
7868829;Electronic Journal of Combinatorics;1996
7912116;ICGA Journal;2010
7921658;Applied Categorical Structures;1997
7937025;Computing;1991
7943539;Journal of Combinatorial Theory, Series A;2013
8027711;Psychnology Journal;2003
8029847;International Journal of Speech Technology;2001
8172325;Acta Cybernetica;2002
8204747;Journal of Combinatorial Theory, Series B;2013
8205339;Presence: Teleoperators & Virtual Environments;1997
8222043;International Journal of Social Robotics;2012
8239055;Journal of Intelligent Manufacturing;1999
8261375;Science in China Series F: Information Sciences;2015
8281617;Annals of Operations Research;2001
8294097;Genomics, Proteomics & Bioinformatics;2011
8306339;Computers & Chemical Engineering;2014
8342646;Annals of Operations Research;2002
8362916;IACR Cryptology ePrint Archive;2004
8365436;International Journal of Multimedia Data Engineering and Management;2012
