paper_id,keyword_id
21456,1
36205663,1
46939464,1
49102261,1
66449440,1
272348321,1
305466308,1
647618502,1
863875615,1
1485429318,1
1486307742,1
1490113970,1
21456,2
15574901,2
24357746,2
31611110,2
50630933,2
55138472,2
143651745,2
164654182,2
174517023,2
178864917,2
191049181,2
206765195,2
248796252,2
274140260,2
953400293,2
1479707058,2
1482268673,2
1486473269,2
1487776973,2
1492546183,2
1479692601,2
1505173015,2
21456,3
20186095,3
37027385,3
58702796,3
44063969,3
122792331,3
137801185,3
167678102,3
180509295,3
290699399,3
404872179,3
418413933,3
584246952,3
607979281,3
617461516,3
624096570,3
1020634404,3
1497022621,3
1504946151,3
21456,4
241752,4
247967,4
2799149,4
4113630,4
5024876,4
6019636,4
6661174,4
6688141,4
6913783,4
7126213,4
7544043,4
8362916,4
8677904,4
9657784,4
10868980,4
11174961,4
12188838,4
12454259,4
12623182,4
13671444,4
14075757,4
15194010,4
15574901,4
15621128,4
16042900,4
16121277,4
16708063,4
17479139,4
18405265,4
19503683,4
19955532,4
19991105,4
21172594,4
21325108,4
22435263,4
23277415,4
24357746,4
25254909,4
26394298,4
26498519,4
26767674,4
29142153,4
31145753,4
31723533,4
31812554,4
32320118,4
32402150,4
32468306,4
32836389,4
33839098,4
34785529,4
35155898,4
36205663,4
36571209,4
36766369,4
37027385,4
37113338,4
37417757,4
37605225,4
38748138,4
42748435,4
43639300,4
43771634,4
45856317,4
45884270,4
46104077,4
46433096,4
46728371,4
46939464,4
47332856,4
47464519,4
48757359,4
49111299,4
49242494,4
49974034,4
50514052,4
50630933,4
50666839,4
51612467,4
51746108,4
52316513,4
52769613,4
52961754,4
54089079,4
54623235,4
55138472,4
56116395,4
57257458,4
58036934,4
58702796,4
58823560,4
59665448,4
59803121,4
59882795,4
60689211,4
63929538,4
64830885,4
65915292,4
67589319,4
68115520,4
68159281,4
68303782,4
69807889,4
70239856,4
70338835,4
70350361,4
71135852,4
71652684,4
72512128,4
74976344,4
75089012,4
75729132,4
76819964,4
77239373,4
78375865,4
78944170,4
81317141,4
81963637,4
81993806,4
82021289,4
82531416,4
82733688,4
83428783,4
83601075,4
83755378,4
83953400,4
84418456,4
86791416,4
87079917,4
87347019,4
88485505,4
88669372,4
89002490,4
90420236,4
90485575,4
90899539,4
90929319,4
91225305,4
93468947,4
93675726,4
93819882,4
94584998,4
95918298,4
96622098,4
97565217,4
97771510,4
98275668,4
98877824,4
99542631,4
99980800,4
14398808,4
44063969,4
100013628,4
100801673,4
101073733,4
102721760,4
102851460,4
103044395,4
103688816,4
104003055,4
104767902,4
105332871,4
107082051,4
108546022,4
110714221,4
110849363,4
111114747,4
111827575,4
112034751,4
112197168,4
112467565,4
112874731,4
113540453,4
114266549,4
115240300,4
115305711,4
115951435,4
117480120,4
118643751,4
120019470,4
120095970,4
120177241,4
120940218,4
120943514,4
121432690,4
122792331,4
123206189,4
123293708,4
124110775,4
125187127,4
125842290,4
126178194,4
126291697,4
126456523,4
126732603,4
128319768,4
130718339,4
131515753,4
131591713,4
134269314,4
134901055,4
134909356,4
136080074,4
136266636,4
136422984,4
136753843,4
137312315,4
137801185,4
138280076,4
138623934,4
138669224,4
138950090,4
139670582,4
139828670,4
140343426,4
140522063,4
140639879,4
140806811,4
140994195,4
141003461,4
142225618,4
143651745,4
145176944,4
147205932,4
148254421,4
148356847,4
149506719,4
149656659,4
150078352,4
150105584,4
150498788,4
151485671,4
151796573,4
152621403,4
153435101,4
155462409,4
155738974,4
155903907,4
156442757,4
157102640,4
158026054,4
158262377,4
159012632,4
160169779,4
162790823,4
163488386,4
164306009,4
164598655,4
164654182,4
167488929,4
167678102,4
168273475,4
170191225,4
172329421,4
173917862,4
174930406,4
178044561,4
178165093,4
178291798,4
178864917,4
179514658,4
179993435,4
180870158,4
181080197,4
181628467,4
181680466,4
181804555,4
182599932,4
184152125,4
184390021,4
184495148,4
184620699,4
184967276,4
185797207,4
187480488,4
187763918,4
188281630,4
189947881,4
190531468,4
190939744,4
191049181,4
192336593,4
192927380,4
192930805,4
193074439,4
193286036,4
193470893,4
193640608,4
194549975,4
195487854,4
196189014,4
196453132,4
197785030,4
198348660,4
198685507,4
199266244,4
199850468,4
187363197,4
192011785,4
201173941,4
201827489,4
201906437,4
203331240,4
203373624,4
204323772,4
205333855,4
206087262,4
207648604,4
207939723,4
211083189,4
212659702,4
214166028,4
214716431,4
216440567,4
216861497,4
218631479,4
224419216,4
231180639,4
235607598,4
236003722,4
236346275,4
236568224,4
237943535,4
239156148,4
242758580,4
243778336,4
243795918,4
247120144,4
250543701,4
255074044,4
255683031,4
263106242,4
263874909,4
264921623,4
265301128,4
266110633,4
267582603,4
267696938,4
271729863,4
271782254,4
271922137,4
272348321,4
273988853,4
275253425,4
275606765,4
278235758,4
283003172,4
283735322,4
285544433,4
286861583,4
290699399,4
296018306,4
296189123,4
297707416,4
299778466,4
299810643,4
269009127,4
232666583,4
305066705,4
305466308,4
308718897,4
310873614,4
311101209,4
316332499,4
316845903,4
316857311,4
318280920,4
322405389,4
322839579,4
323173835,4
324654136,4
325293568,4
325466013,4
335134993,4
339714665,4
344081710,4
344349506,4
348733522,4
359656693,4
368284307,4
384698140,4
390736637,4
404872179,4
405831130,4
413048612,4
416854970,4
560557252,4
562108987,4
570189632,4
571925191,4
573323057,4
574833257,4
578466430,4
581158006,4
581334404,4
583181965,4
586118636,4
586426220,4
589054248,4
590625283,4
594752631,4
595119776,4
596119589,4
600105743,4
601824767,4
603594103,4
603638037,4
604628271,4
606443097,4
608551393,4
609539071,4
611081943,4
611416841,4
611536836,4
614715210,4
615560582,4
617674400,4
619076712,4
620836850,4
624337328,4
626714893,4
627006850,4
629096562,4
631794895,4
633257440,4
633823344,4
635303220,4
640039046,4
641367590,4
641746438,4
647029926,4
652099274,4
652514868,4
653365231,4
655873313,4
656475520,4
656588505,4
657411145,4
659363526,4
659407642,4
745149532,4
748129984,4
749301920,4
766792511,4
781745948,4
788879056,4
791694307,4
794093550,4
798567151,4
802019357,4
805707617,4
807476078,4
812600222,4
813159356,4
816776785,4
826907282,4
833605891,4
836022219,4
840673086,4
846166904,4
848502266,4
863875615,4
904536841,4
909549691,4
