paper_id;author_id
21456;2143328931
21456;2564669815
21805;2255205611
21805;1251186077
21951;2182498006
21951;2298234020
34988;2338213376
34988;2162036314
34988;2036832964
34988;2340891503
38917;2068146743
38917;2252543171
38917;1278895136
38917;2171534607
49843;181506914
66914;2128185928
66914;2121783832
66914;2060698562
66914;1973184187
83404;2236503884
83404;1945051285
83404;608193906
83404;2036846023
83404;2619848081
122273;148277250
122273;2802098124
122273;2017130482
122273;2801637014
122273;2120725579
128236;2136856499
128236;2893521534
128236;2101260747
128236;2144420726
148875;2555091219
148875;2009609066
148875;1545984777
148875;2095900866
148875;2106826931
148875;2268629875
148875;2105553894
148875;2229316332
148875;2923305450
149980;2022861279
149980;2121322151
149980;2309999102
149980;2068190112
162256;2128212913
162256;2159253281
164942;683941801
164942;2168510846
167261;2558250323
217802;2007383746
217802;2121496889
223960;2122931204
223960;2008405047
223960;1971232791
225523;2120836466
225523;2111678102
225523;2109031554
225523;2191511983
241752;2095636841
247967;2549153065
267718;2075034029
267718;383143893
289271;346909080
289271;2112117635
289271;1995406097
345707;2181654943
345707;2113802326
387150;2063568559
387150;1592879070
387150;1991863171
387150;2276174343
422477;2050825142
422477;177951892
480214;2154808769
520826;2019101048
520826;2060579979
520826;2113075142
520826;2292501048
520826;1989525063
520826;2169540936
531080;2405901215
531080;205737203
554285;2092022908
554285;2169919654
567418;2103882608
567418;2559804696
567418;2252622550
573916;2051681002
598789;1926413647
598789;2951432815
598789;1995276563
600256;2110318114
601150;2233353379
601150;2810083571
601150;2626454983
649244;2152243552
649244;2620164869
671169;2429702140
671169;2010625751
671169;2305382089
671169;2036137081
671169;2132722601
671169;2435989397
671169;2309826422
671169;2147779349
718550;2129771855
749663;2443910113
749663;2793328468
749663;2519402967
771098;2154613642
771098;159610316
771098;1832751096
771098;2043338016
771098;2100069631
771098;1979876342
773965;2222746049
796041;2137666597
796041;2171731261
796041;2059425993
808474;2655841772
808499;1727059595
915898;2505290037
915898;2141316474
915898;2114244606
954689;195980013
954689;35741249
1017254;2637950424
1017254;2973683909
1028584;2225911406
1028584;2973452925
1028584;321831593
1038880;339331339
1038880;8135979
1038880;2040447644
1038880;2102122772
1140107;297263217
1140107;1063590995
1140107;33206313
1140107;298400862
1147305;2013170699
1147305;2239016892
1211384;1896956012
1238551;245994637
1238551;2082222046
1238551;2141751838
1238551;1940272638
1243554;2024911655
1243554;1244974601
1243554;2048719660
1309347;2152029228
1309347;1880413372
1309347;1476131191
1309347;2167740186
1325840;2117432811
1341035;2040918890
1341035;2080063942
1341035;627093654
1341035;2095278027
1341035;2119938105
1341035;1972086764
1341035;2082812151
1341035;1988561859
1365889;2088212047
1404390;2596517932
1404390;2041929413
1469449;170186220
1469449;2168513913
1469449;2092767352
1469449;2283028827
1474627;2096455838
1474627;2974296074
1538985;2936730352
1538985;391532651
1538985;704409181
1575397;2167746919
1575397;2798554258
1575397;2798424333
1699565;1873538321
1699565;2101926452
1699565;2028688391
1699565;2807402647
1736531;2483104957
1778470;2140518643
1778470;2146282702
1778470;2135854099
1778470;2111521689
1792112;2189871070
1792112;2128075162
1810055;2103731555
1810055;1968025676
1865761;1987619973
1865761;2599010870
1865761;2954160865
1871655;2439742470
1871655;1470835395
1906742;2019340416
1906742;2145259743
1906742;255856329
1906742;2916990554
1914497;211870645
1914497;2171596754
1937999;2949788064
1937999;2255485921
1937999;2113206971
1937999;1785353610
1940957;74063520
1940957;22805272
1940957;272980497
1950670;2472035779
1950670;2135255940
1950670;2135968533
2048510;1539171732
2048510;237646697
2112625;2428833176
2112625;1025223892
2112625;2297192962
2114317;2974365363
2114317;2067548729
2114317;324867441
2114317;2143788531
2117307;2161690035
2117307;2166126287
2117307;2145822934
2117307;2286323142
2120994;2330918143
2120994;2146573063
2122821;2635771934
2122821;2991122650
2124813;2477615743
2124813;230725257
2127434;2780132591
2127434;2102351059
2127434;2171457635
2127868;2427709626
2127868;2151491929
2127868;2055166629
2137705;283699036
2137705;2152052458
2137705;237969062
2137705;2115752352
2175101;1968790287
2199989;6439440
2204146;2097021352
2204146;2164236968
2204146;2170746593
2204146;2114247000
2206545;2692722788
2206545;2674712804
2206545;2105533932
2238821;26130675
2238821;217982516
2267849;121113364
2267849;2077115692
2267849;2087320732
2267849;2125978709
2267849;2261281779
2305095;2557754503
2305095;2173255156
2323682;711150104
2323682;292823293
2431536;2147625809
2431536;238064065
2431536;2140282561
2431536;2178563479
2431536;2008375597
2431536;2570104878
2446983;2334311051
2446983;2708460442
2451114;2020110388
2451114;1966312229
2451114;2096267445
2451114;2259328705
2477769;2007092944
2477769;1236062917
2477769;2015148380
2477769;2171738142
2480119;2088039066
2480119;2248627594
2486361;2369039942
2486361;2288334126
2486361;2635175829
2486361;2302830727
2486361;1991223924
2486361;2174039994
2486361;2596285404
2511089;199581099
2511089;1997372337
2511089;2126907635
2526871;2471120003
2526871;11391556
2526871;2152659900
2573304;2147832306
2573304;1965803741
2629360;2987513642
2658294;2007831447
2661084;2153793996
2661084;2006643471
2661084;2271585720
2700668;2152186886
2700668;2765365538
2700668;2304170393
2700668;2157481769
2700668;2129920293
2700668;341683441
2700668;2150518975
2732331;2348856618
2732331;2616837887
2732331;133860011
2752502;2550219552
2752502;2549476674
2752502;2556317835
2752502;2550997851
2784031;2163038809
2784031;1950002508
2784031;1995576044
2784031;2015009204
2784031;2004349175
2793079;2347113836
2793079;2070393103
2796427;174079165
2796427;2128098651
2799149;2303874678
2799149;2112269005
2834224;2113424167
2834224;2004635363
2834224;2134858009
2849812;2122301133
2849812;84905108
2849812;1983425676
2849812;2293627786
2875723;2892844718
2875723;2798660314
2875723;2798583396
2896118;2989415669
2896118;2974800435
2896118;208448386
2896118;1921270260
2991996;2130044605
2991996;2154629037
2997962;1956093140
2997962;93365683
2997962;135551376
2997962;1596863116
2997962;2131647180
3008640;2124235897
3008640;2137407614
3036539;2172126522
3036539;2099703962
3036539;2574079315
3036539;2158172607
3036539;2172614739
3081997;2248045166
3081997;2559371873
3081997;264124834
3090440;2100147617
3090440;2161408997
3090440;2138036741
3090440;2138235823
3090440;2603947994
3100938;2006302313
3100938;62781182
3100938;2339289096
3100938;2134352973
3100938;2113084153
3117877;2311755377
3117877;2170176699
3117877;2101871227
3123709;2135776136
3179671;2186151202
3179671;2114855873
3179671;2112759499
3179671;1934629602
3234514;2423452344
3235709;2072553995
3258327;2133919686
3258327;2141741215
3258327;2167032303
3258327;2425744831
3258327;2532350796
3258327;2160129129
3258327;2394853576
3302081;2513381142
3302081;2421803901
3302081;2411619937
3328359;2135067723
3328359;2298525829
3328359;2568038836
3328359;2952606535
3328359;2893770977
3328359;125394314
3383526;2070142632
3383526;2268008111
3383526;2989469368
3401598;2525862771
3401598;2259100201
3401598;2014508897
3427601;2147202929
3427601;2584364091
3427601;2297066173
3438928;2888729261
3438928;1551453747
3438928;2115578995
3442540;2062581780
3442540;2312128605
3442540;96492545
3448503;2149271416
3448503;2697643067
3448503;699740264
3448503;2688319911
3477132;2161607709
3477132;2152233849
3501056;2590288833
3501056;2138669982
3520640;246926369
3520640;2302327130
3525987;2022242863
3525987;1976939201
3525987;806245018
3534558;2140044959
3554051;2122469217
3554051;2090051865
3554051;2115691719
3554051;237646697
3572470;2284655069
3709876;2128984916
3764542;2776117094
3764542;2146581609
3787346;1963124755
3787346;2280139276
